time,enrolled,available,waitlisted,total
2023-05-25T01:15:20,0,315,0,315
2023-05-25T01:26:56,0,315,0,315
2023-05-25T01:38:32,0,315,0,315
2023-05-25T01:50:17,0,315,0,315
2023-05-25T02:01:52,0,315,0,315
2023-05-25T02:13:28,0,315,0,315
2023-05-25T02:25:04,0,315,0,315
2023-05-25T02:36:38,0,315,0,315
2023-05-25T02:48:11,0,315,0,315
2023-05-25T02:59:44,0,315,0,315
2023-05-25T03:11:20,0,315,0,315
2023-05-25T03:23:00,0,315,0,315
2023-05-25T03:34:57,0,315,0,315
2023-05-25T03:46:33,0,315,0,315
2023-05-25T03:58:09,0,315,0,315
2023-05-25T04:17:31,0,315,0,315
2023-05-25T04:29:32,0,315,0,315
2023-05-25T04:41:09,0,315,0,315
2023-05-25T04:52:44,0,315,0,315
2023-05-25T05:04:21,0,315,0,315
2023-05-25T05:15:57,0,315,0,315
2023-05-25T05:27:33,0,315,0,315
2023-05-25T05:39:10,0,315,0,315
2023-05-25T05:50:46,0,315,0,315
2023-05-25T06:02:23,0,315,0,315
2023-05-25T06:13:58,0,315,0,315
2023-05-25T06:25:33,0,315,0,315
2023-05-25T06:37:08,0,315,0,315
2023-05-25T06:48:43,0,315,0,315
2023-05-25T07:00:19,0,315,0,315
2023-05-25T07:11:54,0,315,0,315
2023-05-25T07:23:29,0,315,0,315
2023-05-25T07:35:02,0,315,0,315
2023-05-25T07:46:39,0,315,0,315
2023-05-25T07:58:15,0,315,0,315
2023-05-25T08:09:49,0,315,0,315
2023-05-25T08:21:34,0,315,0,315
2023-05-25T08:33:08,0,315,0,315
2023-05-25T08:44:41,0,315,0,315
2023-05-25T08:56:13,0,315,0,315
2023-05-25T09:07:47,0,315,0,315
2023-05-25T09:19:19,0,315,0,315
2023-05-25T09:30:52,0,315,0,315
2023-05-25T09:42:24,0,315,0,315
2023-05-25T09:53:57,0,315,0,315
2023-05-25T10:05:31,0,315,0,315
2023-05-25T10:17:15,0,315,0,315
2023-05-25T10:28:48,0,315,0,315
2023-05-25T10:40:21,0,315,0,315
2023-05-25T10:52:03,0,315,0,315
2023-05-25T11:03:36,0,315,0,315
2023-05-25T11:15:08,0,315,0,315
2023-05-25T11:26:42,0,315,0,315
2023-05-25T11:38:14,0,315,0,315
2023-05-25T11:49:47,0,315,0,315
2023-05-25T12:01:31,0,315,0,315
2023-05-25T12:13:04,0,315,0,315
2023-05-25T12:24:37,0,315,0,315
2023-05-25T12:36:10,0,315,0,315
2023-05-25T12:47:43,0,315,0,315
2023-05-25T12:59:26,0,315,0,315
2023-05-25T13:10:59,0,315,0,315
2023-05-25T13:22:31,0,315,0,315
2023-05-25T13:34:05,0,315,0,315
2023-05-25T13:45:38,0,315,0,315
2023-05-25T13:57:11,0,315,0,315
2023-05-25T14:08:56,0,315,0,315
2023-05-25T14:20:29,0,315,0,315
2023-05-25T14:32:02,0,315,0,315
2023-05-25T14:43:35,0,315,0,315
2023-05-25T14:55:09,0,315,0,315
2023-05-25T15:06:53,0,315,0,315
2023-05-25T15:18:27,0,315,0,315
2023-05-25T15:30:01,0,315,0,315
2023-05-25T15:41:36,0,315,0,315
2023-05-25T15:53:10,0,315,0,315
2023-05-25T16:04:45,0,315,0,315
2023-05-25T16:16:31,0,315,0,315
2023-05-25T16:28:05,0,315,0,315
2023-05-25T16:39:40,0,315,0,315
2023-05-25T16:51:16,0,315,0,315
2023-05-25T17:02:52,0,315,0,315
2023-05-25T17:14:40,0,315,0,315
2023-05-25T17:26:15,0,315,0,315
2023-05-25T17:37:51,0,315,0,315
2023-05-25T17:49:27,0,315,0,315
2023-05-25T18:01:02,0,315,0,315
2023-05-25T18:12:39,0,315,0,315
2023-05-25T18:24:15,0,315,0,315
2023-05-25T18:36:00,0,315,0,315
2023-05-25T18:47:35,0,315,0,315
2023-05-25T18:59:11,0,315,0,315
2023-05-25T19:10:48,0,315,0,315
2023-05-25T19:22:24,0,315,0,315
2023-05-25T19:33:59,0,315,0,315
2023-05-25T19:45:36,0,315,0,315
2023-05-25T19:57:21,0,315,0,315
2023-05-25T20:08:57,0,315,0,315
2023-05-25T20:20:32,0,315,0,315
2023-05-25T20:32:09,0,315,0,315
2023-05-25T20:43:44,0,315,0,315
2023-05-25T20:55:20,0,315,0,315
2023-05-25T21:06:55,0,315,0,315
2023-05-25T21:18:32,0,315,0,315
2023-05-25T21:30:18,0,315,0,315
2023-05-25T21:41:54,0,315,0,315
2023-05-25T21:53:30,0,315,0,315
2023-05-25T22:05:05,0,315,0,315
2023-05-25T22:16:40,0,315,0,315
2023-05-25T22:28:16,0,315,0,315
2023-05-25T22:39:51,0,315,0,315
2023-05-25T22:51:38,0,315,0,315
2023-05-25T23:03:15,0,315,0,315
2023-05-25T23:14:51,0,315,0,315
2023-05-25T23:26:27,0,315,0,315
2023-05-25T23:38:03,0,315,0,315
2023-05-25T23:49:39,0,315,0,315
2023-05-26T00:01:19,0,315,0,315
2023-05-26T00:13:13,0,315,0,315
2023-05-26T00:24:53,0,315,0,315
2023-05-26T00:36:32,0,315,0,315
2023-05-26T00:48:11,0,315,0,315
2023-05-26T00:59:50,0,315,0,315
2023-05-26T01:11:29,0,315,0,315
2023-05-26T01:23:07,0,315,0,315
2023-05-26T01:34:45,0,315,0,315
2023-05-26T01:46:33,0,315,0,315
2023-05-26T01:58:13,0,315,0,315
2023-05-26T02:09:54,0,315,0,315
2023-05-26T02:21:31,0,315,0,315
2023-05-26T02:33:08,0,315,0,315
2023-05-26T02:44:57,0,315,0,315
2023-05-26T02:56:37,0,315,0,315
2023-05-26T03:08:18,0,315,0,315
2023-05-26T03:19:59,0,315,0,315
2023-05-26T03:31:37,0,315,0,315
2023-05-26T03:43:16,0,315,0,315
2023-05-26T03:54:54,0,315,0,315
2023-05-26T04:06:43,0,315,0,315
2023-05-26T04:28:41,0,315,0,315
2023-05-26T04:40:45,0,315,0,315
2023-05-26T04:52:27,0,315,0,315
2023-05-26T05:04:07,0,315,0,315
2023-05-26T05:15:48,0,315,0,315
2023-05-26T05:27:27,0,315,0,315
2023-05-26T05:39:05,0,315,0,315
2023-05-26T05:50:45,0,315,0,315
2023-05-26T06:02:23,0,315,0,315
2023-05-26T06:14:02,0,315,0,315
2023-05-26T06:25:41,0,315,0,315
2023-05-26T06:37:20,0,315,0,315
2023-05-26T06:48:59,0,315,0,315
2023-05-26T07:00:36,0,315,0,315
2023-05-26T07:12:15,0,315,0,315
2023-05-26T07:23:54,0,315,0,315
2023-05-26T07:35:39,0,315,0,315
2023-05-26T07:47:16,0,315,0,315
2023-05-26T07:58:54,0,315,0,315
2023-05-26T08:10:29,0,315,0,315
